lemmas,label
"['minoria', 'doente', 'lgbt', 'querer', 'impor', 'doença', 'mental', 'pessoa', 'normal', 'dar', 'mal']",1
"['merda', 'tram', 'lgbt', 'já', 'passar', 'limite', 'loucura', 'acabem', 'maioria', 'povo', 'já', 'não', 'poder', 'ouvir', 'falar', 'sequer', 'compreender', 'reflete', 'eleição', 'paí']",0
"['psicólogo', 'não-binário', 'consulta', 'fazer', 'compreender', 'indivíduo', 'momento', 'acharei', 'normal']",1
"['passar', 'televisão', 'simplesmente', 'vergonhoso', 'nunca', 'mal', 'acabar', 'doença']",1
"['porcaria', 'passar', 'televisão', 'causa', 'merda', 'criança', 'estão', 'confusa', 'extraterrestre']",0
"['palhaçado', 'sentir', 'xyz', 'já', 'deixar', 'graça', 'só', 'dar', 'pontapé', 'pedra', 'aparecer', 'logo', 'homem', 'cromossoma', 'fogo']",0
"['epá', 'deixem', 'merda', 'homem', 'homem', 'mesmo', 'vista', 'saia', 'fim', 'vida', 'mundo', 'precisar', 'trump', 'orbán', 'milei', 'putin', 'juntar', 'acabar', 'porcaria', 'basta', 'nojeira']",1
"['porcaria', 'esquerda', 'seboso', 'vir', 'incentivar', 'apoiar', 'aberração', 'produto', 'ocidente', 'doente', 'decadente']",0
"['agora', 'empresa', 'mudar', 'sistema', 'causa', 'doente', 'só', 'olhar', 'perna', 'ver', 'logo', 'nojo', 'porcaria']",0
"['chapada', 'paneleiro', 'passar', 'logo', 'ternário']",0
"['género', 'construção', 'social', 'então', 'poder', 'identificar', 'pedaço', 'merda', 'questão', 'perspetiva']",1
"['existir', 'doil', 'género', 'masculino', 'feminino', 'resto', 'caso', 'psiquiatria']",1
"['exército', 'precisar', 'homem', 'sério', 'força', 'físico', 'mental', 'aguentar', 'guerra', 'não', 'precisar', 'doente', 'mental', 'prioridade', 'meio', 'perna']",0
"['mundo', 'endireitar', 'filho', 'paneleiro', 'vida', 'ir', 'entrar', 'eixo']",0
"['problema', 'bicho', 'histérico', 'circense', 'querer', 'transformar', 'mundo', 'desfile', 'maluco', 'colorir']",1
"['paneleiro', 'acima', 'competência', 'mundo', 'viver', 'hoje']",0
"['homem', 'vestir', 'homem', 'apena', 'predador', 'sexual', 'doença', 'psiquiátrico']",1
"['homem', 'tram', 'não', 'homem', 'homem', 'viver', 'fantasia', 'homem']",0
"['chegar', 'lgbt', 'paneleiro', 'dever', 'capada', 'porco']",1
"['coitado', 'aberração', 'lugar', 'lgbt', 'circo']",1
"['problema', 'rede', 'social', 'reforçar', 'ideia', 'errar', 'opinião', 'conta', 'vida', 'escolha', 'político', 'social', 'sexual', 'cultural', 'sejam', 'feliz']",0
"['não', 'andem', 'dar', 'palestra', 'criança', 'cinco', 'ano']",1
"['sejam', 'querer', 'não', 'preciso', 'fazer', 'manifestaçõe']",1
"['drama', 'meno', 'fazer', 'querer', 'bem', 'apetecer', 'não', 'normal', 'não', 'é.']",1
"['não', 'reproduzem']",1
"['xenofobia', 'coisa', 'provocar', 'manifestaçõe', 'querer', 'não', 'precisar', 'andar', 'manifestaçõe', 'mostrar', 'fazer', 'criança', 'meio', 'tenham', 'paciência', 'deixar', 'animal', 'paz']",1
"['não', 'obrigar', 'assistir', 'manifestaçõe', 'gay', 'façar', 'querer']",1
"['problema', 'mental', 'tratar', 'não', 'normalizado']",1
"['opinião', 'cremado']",1
"['não', 'querer', 'saber', 'gostar', 'só', 'não', 'precisar', 'coisa', 'especial']",1
"['sejam', 'querer', 'não', 'façar', 'propaganda']",1
"['amor', 'vencerá']",0
"['xx', 'apena']",1
"['natural', 'não', 'precisavam', 'bandeira', 'identificarem']",1
"['ah', 'bom', 'mundo', 'solidário', 'amoroso']",0
"['certo', 'lá', 'homossexual', 'preciso', 'andarem', 'vestir', 'palhaço', 'liga', 'top', 'hajam', 'juízo', 'vistam', 'normalmente', 'gente', 'roupa', 'homem', 'homem']",1
"['propaganda', 'continuar']",1
