texto,label
A minoria doente LGBT quer impor as suas doenças mentais às pessoas normais. Vão-se dar mal.,1
"Esta merda dos transformers e dos LGBTs já passou todos os limites da loucura. Acabem com isto, a maioria dos povos já não pode ouvir falar disto, nem sequer compreende, e isso reflete-se nas eleições de vários países.",0
"Sou psicóloga. Se tiver um não-binário em consulta, farei de tudo para compreender o indivíduo, mas em nenhum momento o acharei normal.",1
Isto ter passado na televisão é simplesmente vergonhoso... Nunca mais acaba esta doença woke.,1
Mas como é que esta porcaria passa na televisão? É por causa desta merda que as crianças estão confusas. Tu és um extraterrestre.,0
Esta palhaçada do “eu sinto-me como XYZ” já deixou de ter graça! É só dar um pontapé numa pedra e aparece logo uma “mulher” com os cromossomas XY... Fogo!,0
"Epá, deixem-se de merdas. Um homem é homem, mesmo que vista saias até ao fim da vida. O mundo precisa é de um Trump, Orbán, Milene e Putin juntos para acabar com esta porcaria. Basta de tanta nojeira.",1
É esta porcaria que vocês e a esquerda sebosa têm vindo a incentivar e apoiar. Esta aberração é produto deste Ocidente doente e decadente.,0
Agora as empresas têm de mudar o sistema por causa destes doentes. É só olhar entre as pernas e vê-se logo o que são. Nojo dessa porcaria.,0
Umas chapadas num paneleiro e ele passava logo a ternário.,0
O género é uma construção social? Então eu posso identificar-te como o pedaço de merda que és. É tudo uma questão de perspetiva.,1
Existem dois géneros: masculino e feminino. O resto são casos de psiquiatria.,1
"O que o exército precisa é de homens a sério, com força física e mental para aguentar uma guerra. Não precisa de doentes mentais cuja prioridade é o que têm no meio das pernas.",0
"O mundo a endireitar! Filhos da paneleiragem, a vossa vida vai entrar nos eixos.",0
O problema está nas bichas histéricas e circenses que querem transformar o mundo num desfile de malucas coloridas.,1
Paneleirices acima da competência — é este o mundo onde vivemos hoje.,0
Homens vestidos de mulheres são apenas predadores sexuais com doença psiquiátrica.,1
As mulheres trans não são mulheres — são homens que vivem a fantasia de ser mulheres.,0
Chega de wokismo LGBT. A paneleiragem devia ser capada como os porcos.,1
Coitadinhos das aberrações! O lugar dos LGBT é no circo.,1
"O problema das redes sociais é que reforçam a ideia errada de que a opinião dos outros conta para a nossa vida e para as nossas escolhas, sejam elas políticas, sociais, sexuais ou culturais. Sejam felizes,",0
desde que não andem a dar palestras a crianças de cinco anos.,1
"Sejam o que quiserem, mas não é preciso fazer manifestações.",1
"Menos drama, menos... Cada um faz o que quer e bem lhe apetece, mas o que não é normal, não é.",1
Ao menos não se reproduzem.,1
"A xenofobia e outras coisas são provocadas por estas manifestações — que sejam o que quiserem, mas não precisam de andar em manifestações a mostrar o que são ou o que fazem, e com crianças no meio. Tenham paciência... e deixem os animais em paz.",1
"Desde que não me obriguem a assistir a manifestações gays, que façam o que quiserem.",1
"Problemas mentais são para serem tratados, não normalizados.",1
"Na minha opinião, era tudo cremado.",1
Não quero saber do que cada um gosta. Só não precisam de “coisas especiais”.,1
Sejam o que quiserem. Não façam propaganda disso.,1
O amor vencerá.,0
XX e XY apenas.,1
"Se fosse natural, não precisavam de uma bandeira para se identificarem. ✌️",1
"Ah, como seria bom um mundo solidário e amoroso! 😍",0
"Certo, mas lá porque são homossexuais, é preciso andarem vestidos como palhaços, ou com ligas, um top e muitos pelos? Hajam juízo e vistam-se normalmente, como toda a gente — roupas de homem ou de mulher!",1
A propaganda continua. 🥰✨,1
"Não sou anti-LGBT, só sou contra o argumento naturalista. Nos animais existe a lei do mais forte — devemos trazê-la para a sociedade humana? Não. As pessoas só têm de perceber que cada um ama quem quer, sem ter de ser preso ou sofrer consequências políticas.",1
"Convenientemente, lembraram-se agora. Agora todos são gays, trans, bi, fluidos, woke... É uma moda, certamente.",1
